rank,station_id,station_name,lat,lon,mean_net_flow
1,66,"Holborn Circus, Holborn",51.51795,-0.108657,-1.82010582010582
2,194,"Hop Exchange, The Borough",51.504627,-0.091773,-1.6236772486772486
3,251,"Brushfield Street, Liverpool Street",51.518908,-0.079249,-1.0006613756613756
4,228,"St. James's Square, St. James's",51.507424,-0.134621,-0.9748677248677249
5,71,"Newgate Street , St. Paul's",51.515768,-0.099894,-0.7956349206349206
6,64,"William IV Street, Strand",51.509462,-0.124749,-0.7943121693121693
7,579,"Queen Street 2, Bank",51.511246,-0.093051,-0.7222222222222222
8,703,"St. Bride Street, Holborn",51.514665,-0.104583,-0.6527777777777778
9,109,"Soho Square , Soho",51.515631,-0.132328,-0.6369047619047619
10,199,"Great Tower Street, Monument",51.510484,-0.082989,-0.5277777777777778
11,360,"Howick Place, Westminster",51.496753,-0.138733,-0.49867724867724866
12,193,"Bankside Mix, Bankside",51.505817,-0.100186,-0.49404761904761907
13,55,"Finsbury Circus, Liverpool Street",51.517075,-0.086685,-0.49074074074074076
14,233,"Pall Mall East, West End",51.50777,-0.130699,-0.4781746031746032
15,583,"Abingdon Green, Westminster",51.49764,-0.125972,-0.46494708994708994
